"word","n","rate_ADMIN","rate_HOCs","rate_total_EB","rate_ratio","rate_ratio_EB","group_HOCs_admin","id","color_range","color_range_scale"
"belongings",2,0,3.18816552955429,2.57487022512335,0,0.335810719337224,"HOCs",1226,-3,-0.985032236091476
"traditions",2,0,3.18816552955429,2.57487022512335,0,0.335810719337224,"HOCs",1445,-3,-0.985032236091476
"remote",11,3.03312168884216,12.7526621182172,8.1427989556356,0.237842237230558,0.32295399437522,"HOCs",382,-1.43614769388448,-0.471550591421547
"senior",16,4.04416225178954,19.1289931773258,11.2360926948091,0.211415321982718,0.271263225372264,"HOCs",222,-1.55393072954086,-0.510223953750297
"testing",174,151.656084442108,38.2579863546515,108.984174852691,3.96403728717596,3.88535373779253,"Admin",6,1.37726302287556,0.360412906355785
"continue",64,56.6182715250536,12.7526621182172,40.9317125908744,4.43972176163708,4.17734693735403,"Admin",23,1.49059170818256,0.390069638705789
"college",114,30.3312168884216,133.90295224128,71.8646499826091,0.226516416410055,0.235374260868741,"HOCs",10,-1.48493785805391,-0.487570552925242
"health",278,245.682856796215,55.7928967672002,173.324684627499,4.40347913501147,4.34015288764163,"Admin",3,1.48239494097838,0.387924644872576
"final",23,5.05520281473693,28.6934897659887,15.5667039296519,0.176179434985598,0.218204022528104,"HOCs",126,-1.73625228633481,-0.57008815734244
"hall",45,10.1104056294739,55.7928967672002,29.1771963820152,0.181213133128044,0.203136271588214,"HOCs",43,-1.70808140936812,-0.560838416698719
"covid",313,282.080317062321,54.198814002423,194.977740801713,5.20454777939809,5.1227579373455,"Admin",1,1.64953281633245,0.431662584843345
"violate",4,0,6.37633105910859,3.81218772079274,0,0.193555025172477,"HOCs",804,-3,-0.985032236091476
"unable",9,1.01104056294739,12.7526621182172,6.90548145996622,0.0792807457435192,0.177505204074132,"HOCs",387,-2.53475998255259,-0.832273431189654
"holiday",25,23.2539329477899,3.18816552955429,16.8040214253213,7.29382860840377,5.69650156620397,"Admin",97,1.98702859449645,0.51998110662935
"spread",29,27.2980951995794,3.18816552955429,19.2786564166601,8.56232054030008,6.62879562652862,"Admin",67,2.14737124457163,0.561940819165396
"travel",76,70.772839406317,9.56449658866288,48.3556175648907,7.39953626939513,6.74148249429634,"Admin",14,2.00141733194855,0.523746463425958
"research",47,44.485784769685,4.78224829433144,30.4145138776846,9.30227416723959,7.74492900967875,"Admin",36,2.2302589043774,0.583631507055392
"city",8,8.08832450357908,0,6.28682271213152,Inf,8.30221845970849,"Admin",395,3,0.785063347456943
"compact",20,2.02208112589477,28.6934897659887,13.7107276861479,0.0704717739942393,0.116568703032268,"HOCs",125,-2.65254301820897,-0.870946793518404
"drop",12,0,19.1289931773258,8.7614577034703,0,0.0718340473933741,"HOCs",218,-3,-0.985032236091476
"life",43,3.03312168884216,63.7633105910859,27.9398788863458,0.0475684474461115,0.0691667547575576,"HOCs",37,-3.04558560631858,-1
"symptoms",15,15.1656084442108,0,10.6174339469744,Inf,14.4580073237468,"Admin",164,3,0.785063347456943
"faculty",64,62.6845149027379,3.18816552955429,40.9317125908744,19.6616249443928,14.7863686543693,"Admin",19,2.9786687636124,0.779481223508994
"courtyard",14,0,22.3171587068801,9.99877519913969,0,0.0620748001653162,"HOCs",166,-3,-0.985032236091476
"connecticut",82,80.8832450357908,3.18816552955429,52.0675700518989,25.3698386379262,18.9816919258303,"Admin",11,3.23356101324119,0.84618341108713
"vaccination",73,72.7949205322117,1.59408276477715,46.4996413213867,45.6657095482671,27.0618134761983,"Admin",13,3.82134767814331,1
"asymptomatic",32,32.3532980143163,0,21.1346326601642,Inf,29.4077802792683,"Admin",52,3,0.785063347456943
"zoom",32,0,51.0106484728687,21.1346326601642,0,0.0279273521035474,"HOCs",51,-3,-0.985032236091476
"vaccine",113,114.247583613055,0,71.2459912347744,Inf,100.639051420283,"Admin",9,3,0.785063347456943
