id,date,count
242,01/11,8
242,01/12,11
242,01/13,13
242,01/14,14
242,01/15,14
242,01/16,14
242,01/17,14
242,01/18,14
244,01/11,2
244,01/12,1
244,01/13,1
244,01/14,1
244,01/15,1
244,01/16,1
244,01/17,1
244,01/18,1
246,01/11,0
246,01/12,0
246,01/13,0
246,01/14,0
246,01/15,0
246,01/16,0
246,01/17,0
246,01/18,0
247,01/11,1
247,01/12,1
247,01/13,1
247,01/14,1
247,01/15,2
247,01/16,2
247,01/17,2
247,01/18,3
248,01/11,0
248,01/12,1
248,01/13,1
248,01/14,1
248,01/15,2
248,01/16,2
248,01/17,3
248,01/18,3
249,01/11,0
249,01/12,0
249,01/13,0
249,01/14,0
249,01/15,0
249,01/16,0
249,01/17,0
249,01/18,1
250,01/11,0
250,01/12,0
250,01/13,0
250,01/14,0
250,01/15,0
250,01/16,0
250,01/17,0
250,01/18,0
251,01/11,0
251,01/12,0
251,01/13,0
251,01/14,0
251,01/15,0
251,01/16,0
251,01/17,1
251,01/18,1
252,01/11,0
252,01/12,0
252,01/13,0
252,01/14,0
252,01/15,0
252,01/16,0
252,01/17,0
252,01/18,0
253,01/11,0
253,01/12,0
253,01/13,0
253,01/14,0
253,01/15,0
253,01/16,0
253,01/17,0
253,01/18,0
255,01/11,0
255,01/12,0
255,01/13,0
255,01/14,0
255,01/15,0
255,01/16,0
255,01/17,0
255,01/18,0
256,01/11,0
256,01/12,0
256,01/13,0
256,01/14,0
256,01/15,0
256,01/16,0
256,01/17,0
256,01/18,0
257,01/11,19
257,01/12,19
257,01/13,20
257,01/14,20
257,01/15,21
257,01/16,21
257,01/17,21
257,01/18,21
258,01/11,34
258,01/12,35
258,01/13,35
258,01/14,35
258,01/15,35
258,01/16,35
258,01/17,35
258,01/18,35
259,01/11,154
259,01/12,154
259,01/13,154
259,01/14,154
259,01/15,153
259,01/16,156
259,01/17,157
259,01/18,160
263,01/11,9
263,01/12,9
263,01/13,9
263,01/14,10
263,01/15,10
263,01/16,10
263,01/17,10
263,01/18,10
265,01/11,0
265,01/12,0
265,01/13,0
265,01/14,0
265,01/15,0
265,01/16,0
265,01/17,0
265,01/18,0
266,01/11,0
266,01/12,0
266,01/13,0
266,01/14,0
266,01/15,0
266,01/16,0
266,01/17,0
266,01/18,0
267,01/11,14
267,01/12,14
267,01/13,14
267,01/14,15
267,01/15,15
267,01/16,15
267,01/17,15
267,01/18,13
268,01/11,3
268,01/12,3
268,01/13,3
268,01/14,3
268,01/15,3
268,01/16,3
268,01/17,3
268,01/18,3
269,01/11,0
269,01/12,0
269,01/13,0
269,01/14,0
269,01/15,0
269,01/16,0
269,01/17,0
269,01/18,0
271,01/11,4
271,01/12,6
271,01/13,8
271,01/14,9
271,01/15,9
271,01/16,9
271,01/17,10
271,01/18,11
273,01/11,5
273,01/12,6
273,01/13,7
273,01/14,8
273,01/15,7
273,01/16,8
273,01/17,8
273,01/18,8
274,01/11,0
274,01/12,0
274,01/13,0
274,01/14,0
274,01/15,0
274,01/16,0
274,01/17,0
274,01/18,0
275,01/11,1
275,01/12,3
275,01/13,4
275,01/14,6
275,01/15,6
275,01/16,6
275,01/17,7
275,01/18,8
276,01/11,14
276,01/12,14
276,01/13,14
276,01/14,14
276,01/15,14
276,01/16,14
276,01/17,14
276,01/18,14
277,01/11,12
277,01/12,12
277,01/13,12
277,01/14,12
277,01/15,12
277,01/16,12
277,01/17,12
277,01/18,12
278,01/11,12
278,01/12,12
278,01/13,12
278,01/14,12
278,01/15,12
278,01/16,13
278,01/17,14
278,01/18,14
279,01/11,16
279,01/12,16
279,01/13,16
279,01/14,16
279,01/15,16
279,01/16,16
279,01/17,16
279,01/18,16
280,01/11,8
280,01/12,8
280,01/13,8
280,01/14,8
280,01/15,8
280,01/16,9
280,01/17,9
280,01/18,9
281,01/11,3
281,01/12,4
281,01/13,4
281,01/14,4
281,01/15,4
281,01/16,4
281,01/17,3
281,01/18,4
282,01/11,4
282,01/12,7
282,01/13,7
282,01/14,7
282,01/15,7
282,01/16,7
282,01/17,7
282,01/18,8
283,01/11,3
283,01/12,4
283,01/13,4
283,01/14,4
283,01/15,5
283,01/16,5
283,01/17,5
283,01/18,5
285,01/11,1
285,01/12,1
285,01/13,1
285,01/14,1
285,01/15,1
285,01/16,1
285,01/17,1
285,01/18,1
286,01/11,2
286,01/12,3
286,01/13,3
286,01/14,3
286,01/15,3
286,01/16,3
286,01/17,4
286,01/18,4
287,01/11,0
287,01/12,0
287,01/13,0
287,01/14,0
287,01/15,0
287,01/16,0
287,01/17,0
287,01/18,0
288,01/11,0
288,01/12,0
288,01/13,0
288,01/14,0
288,01/15,0
288,01/16,0
288,01/17,0
288,01/18,0
289,01/11,2
289,01/12,3
289,01/13,4
289,01/14,5
289,01/15,5
289,01/16,5
289,01/17,5
289,01/18,5
291,01/11,45
291,01/12,46
291,01/13,46
291,01/14,46
291,01/15,46
291,01/16,46
291,01/17,46
291,01/18,47
292,01/11,26
292,01/12,28
292,01/13,29
292,01/14,28
292,01/15,28
292,01/16,28
292,01/17,28
292,01/18,28
295,01/11,27
295,01/12,29
295,01/13,29
295,01/14,28
295,01/15,28
295,01/16,29
295,01/17,29
295,01/18,28
296,01/11,0
296,01/12,0
296,01/13,0
296,01/14,0
296,01/15,0
296,01/16,0
296,01/17,0
296,01/18,0
297,01/11,20
297,01/12,19
297,01/13,19
297,01/14,20
297,01/15,20
297,01/16,20
297,01/17,21
297,01/18,21
300,01/11,12
300,01/12,14
300,01/13,14
300,01/14,15
300,01/15,15
300,01/16,15
300,01/17,14
300,01/18,14
303,01/11,5
303,01/12,5
303,01/13,5
303,01/14,5
303,01/15,5
303,01/16,5
303,01/17,5
303,01/18,5
308,01/11,0
308,01/12,0
308,01/13,0
308,01/14,0
308,01/15,0
308,01/16,0
308,01/17,0
308,01/18,0
309,01/11,3
309,01/12,3
309,01/13,4
309,01/14,4
309,01/15,4
309,01/16,4
309,01/17,5
309,01/18,5
311,01/11,0
311,01/12,0
311,01/13,0
311,01/14,0
311,01/15,0
311,01/16,0
311,01/17,0
311,01/18,0
312,01/11,0
312,01/12,0
312,01/13,0
312,01/14,0
312,01/15,0
312,01/16,0
312,01/17,0
312,01/18,0
313,01/11,1
313,01/12,1
313,01/13,70
313,01/14,70
313,01/15,70
313,01/16,70
313,01/17,70
313,01/18,70
314,01/11,0
314,01/12,0
314,01/13,0
314,01/14,0
314,01/15,0
314,01/16,0
314,01/17,0
314,01/18,0
315,01/11,0
315,01/12,0
315,01/13,0
315,01/14,0
315,01/15,0
315,01/16,0
315,01/17,0
315,01/18,0
316,01/11,1
316,01/12,1
316,01/13,11
316,01/14,11
316,01/15,11
316,01/16,11
316,01/17,11
316,01/18,11
317,01/11,1
317,01/12,1
317,01/13,12
317,01/14,12
317,01/15,12
317,01/16,12
317,01/17,12
317,01/18,12
318,01/11,2
318,01/12,2
318,01/13,12
318,01/14,12
318,01/15,12
318,01/16,12
318,01/17,12
318,01/18,12
319,01/11,2
319,01/12,2
319,01/13,12
319,01/14,12
319,01/15,12
319,01/16,12
319,01/17,12
319,01/18,12
320,01/11,1
320,01/12,1
320,01/13,12
320,01/14,12
320,01/15,12
320,01/16,12
320,01/17,12
320,01/18,12
321,01/11,1
321,01/12,1
321,01/13,11
321,01/14,11
321,01/15,11
321,01/16,11
321,01/17,11
321,01/18,11
322,01/11,2
322,01/12,2
322,01/13,13
322,01/14,13
322,01/15,13
322,01/16,13
322,01/17,13
322,01/18,13
323,01/11,1
323,01/12,1
323,01/13,11
323,01/14,11
323,01/15,11
323,01/16,11
323,01/17,11
323,01/18,11
324,01/11,0
324,01/12,0
324,01/13,14
324,01/14,14
324,01/15,14
324,01/16,14
324,01/17,14
324,01/18,14
325,01/11,0
325,01/12,1
325,01/13,1
325,01/14,1
325,01/15,1
325,01/16,1
325,01/17,1
325,01/18,1
326,01/11,6
326,01/12,8
326,01/13,8
326,01/14,8
326,01/15,8
326,01/16,8
326,01/17,9
326,01/18,10
327,01/11,5
327,01/12,6
327,01/13,6
327,01/14,7
327,01/15,8
327,01/16,8
327,01/17,9
327,01/18,9
328,01/11,1
328,01/12,1
328,01/13,2
328,01/14,3
328,01/15,3
328,01/16,3
328,01/17,3
328,01/18,3
329,01/11,4
329,01/12,4
329,01/13,4
329,01/14,4
329,01/15,4
329,01/16,4
329,01/17,4
329,01/18,5
330,01/11,7
330,01/12,7
330,01/13,8
330,01/14,8
330,01/15,8
330,01/16,8
330,01/17,8
330,01/18,8
331,01/11,1
331,01/12,1
331,01/13,1
331,01/14,1
331,01/15,1
331,01/16,1
331,01/17,2
331,01/18,2
332,01/11,0
332,01/12,0
332,01/13,0
332,01/14,0
332,01/15,0
332,01/16,0
332,01/17,0
332,01/18,0
333,01/11,0
333,01/12,0
333,01/13,0
333,01/14,0
333,01/15,0
333,01/16,0
333,01/17,0
333,01/18,0
334,01/11,2
334,01/12,2
334,01/13,2
334,01/14,2
334,01/15,2
334,01/16,2
334,01/17,2
334,01/18,2
335,01/11,7
335,01/12,7
