id,code,name
374,ARCH 3205 01,Method and Modern Architecture: Contemporary Approaches to the History of Architectural Modernism
374,ARCH 552 01,Method and Modern Architecture: Contemporary Approaches to the History of Architectural Modernism
374,ARCH 554 01,Method and Modern Architecture: Contemporary Approaches to the History of Architectural Modernism
375,ARCH 324 01,The City Before and After the Tubewell
375,SAST 384 01,The City Before and After the Tubewell
375,URBN 324 01,The City Before and After the Tubewell
376,ARCH 324 02,The City Before and After the Tubewell
376,SAST 384 02,The City Before and After the Tubewell
376,URBN 324 02,The City Before and After the Tubewell
377,ARCH 325 01,"Fugitive Practice: Introducing, Recentering, and Exploring Black and Indigenous Design Methods"
377,URBN 417 01,"Fugitive Practice: Introducing, Recentering, and Exploring Black and Indigenous Design Methods"
378,ARCH 3256 01,Renaissance and Modern
379,ARCH 3272 01,Exhibitionism: Politics of Display
380,ARCH 3283 01,After the Modern Movement: An Atlas of Postmodern
381,ARCH 3290 01,Body Politics
382,ARCH 3297 01,From Shigeru Ban to Ikea: Designing Refugee Camps
383,ARCH 3298 01,Topics in the History of Architecture Education
384,ARCH 3299 01,Independent Course Work
385,ARCH 3301 01,New York as Incubator of Twentieth-Century Urbanism: Four Urban Thinkers & the City They Envisioned
386,ARCH 3312 01,Textile Architectures: A Transhistorical and Global Perspective into Architectural Historiography
387,ARCH 3313 01,A Critical History of Domestication: The House
388,ARCH 3314 01,Lightness and Modernity
389,ARCH 3316 01,"Modernity & Crisis in Post-War Mexican Architecture, 1945-1994"
391,ARCH 3317 01,Architectural Drawing in the Expanded Field
391,HSAR 571 01,Architectural Drawing in the Expanded Field
392,ARCH 332 01,"Cultural AI: Machine Vision, Art, and Design"
393,ARCH 341 01,Globalization Space
393,ARCH 4216 01,Globalization Space
393,ENV 782 01,Globalization Space
393,GLBL 253 01,Globalization Space
393,LAST 318 01,Globalization Space
393,URBN 341 01,Globalization Space
394,ARCH 354 01,New York as Incubator of 20th-Century Urbanism: Four Urban Thinkers and the City They Envisioned
394,URBN 414 01,New York as Incubator of 20th-Century Urbanism: Four Urban Thinkers and the City They Envisioned
395,ARCH 360 01,Urban Lab: An Urban World
395,URBN 360 01,Urban Lab: An Urban World
397,ARCH 4209 01,Territorial Cities of Pre-Colonial America
398,ARCH 4220 01,Port Cities
399,ARCH 4221 01,Introduction to Commercial Real Estate
400,ARCH 4223 01,Introduction to British Landscape and Architectural History: 1500 to 1900
401,ARCH 4233 01,Ghost Town
402,ARCH 4245 01,The City before and after the Tubewell
403,ARCH 4248 01,Curating Cities: The Power of Zoning
404,ARCH 4249 01,Urban Landscape and Geographies of Justice
405,ARCH 4250 01,A Critical History of Domestication: Environments of Subsistence
406,ARCH 4253 01,Labs & Landscapes of the Green Revolution
407,ARCH 4254 01,"The Environmental Project: Research, Methods & Discourse"
407,ENV 643 01,"The Environmental Project: Research, Methods & Discourse"
408,ARCH 4299 01,Independent Course Work
409,ARCH 4299 02,Independent Course Work
410,ARCH 471 01,Individual Tutorial
411,ARCH 491 01,Senior Project
411,URBN 491 01,Senior Project
412,ARCH 494 01,Senior Project Design Studio
