number,rating,subject,term,workload,year
244,3.477,AMTH,Fall,3.535,2016.0
244,3.479,AMTH,Fall,3.939,2015.0
244,4.4030000000000005,AMTH,Fall,4.161,2014.0
244,4.333,AMTH,Fall,3.965,2013.0
244,3.586,AMTH,Fall,3.724,2012.0
244,3.568,AMTH,Fall,2.784,2011.0
244,3.643,AMTH,Fall,3.357,2010.0
244,2.565,AMTH,Fall,4.087,2009.0
247,3.2,AMTH,Fall,2.6,2019.0
247,2.167,AMTH,Spring,3.583,2019.0
247,3.8,AMTH,Spring,3.0,2018.0
247,3.2,AMTH,Spring,2.8,2017.0
247,1.9380000000000002,AMTH,Spring,2.267,2016.0
247,3.25,AMTH,Spring,2.846,2015.0
247,3.333,AMTH,Spring,3.0,2014.0
247,4.0,AMTH,Spring,3.5,2013.0
262,2.893,AMTH,Fall,2.9290000000000003,2017.0
262,3.155,AMTH,Fall,3.75,2016.0
342,3.0,AMTH,Fall,5.0,2018.0
342,3.333,AMTH,Fall,3.333,2016.0
342,3.0,AMTH,Fall,4.333,2009.0
420,4.857,AMTH,Fall,3.0,2019.0
428,3.0,AMTH,Fall,3.077,2019.0
428,3.273,AMTH,Fall,2.818,2018.0
428,4.25,AMTH,Fall,2.857,2017.0
428,3.273,AMTH,Fall,2.455,2015.0
428,5.0,AMTH,Fall,4.0,2014.0
437,4.053,AMTH,Fall,4.053,2019.0
437,3.778,AMTH,Fall,4.222,2018.0
437,3.9290000000000003,AMTH,Fall,3.857,2017.0
437,3.545,AMTH,Spring,3.5,2017.0
437,3.882,AMTH,Spring,3.176,2016.0
437,3.786,AMTH,Spring,2.9290000000000003,2014.0
437,2.25,AMTH,Fall,3.75,2009.0
447,5.0,AMTH,Fall,4.0,2019.0
490,2.75,AMTH,Spring,3.5,2015.0
490,3.143,AMTH,Spring,4.0,2014.0
490,3.667,AMTH,Spring,3.333,2013.0
490,3.25,AMTH,Spring,3.857,2012.0
491,3.375,AMTH,Spring,4.111,2019.0
491,5.0,AMTH,Fall,5.0,2018.0
491,2.857,AMTH,Spring,4.143,2018.0
491,3.8,AMTH,Spring,3.625,2017.0
491,4.5,AMTH,Fall,4.5,2016.0
491,4.0,AMTH,Spring,3.8890000000000002,2016.0
