id,code,name
431,CHEM 518,Advanced Organic Chemistry I
432,CHEM 421,Chemical Biology
432,CHEM 521,Chemical Biology
433,CHEM 423,Synthetic Methods:Organic Chem
433,CHEM 523,Synthetic Methods:Organic Chem
434,CHEM 430,StatistMechanics&Thermodynamcs
434,CHEM 530,StatistMechanics&Thermodynamcs
435,CHEM 437,Chemistry of Isotopes
436,CHEM 440,Molecules and Radiation I
436,CHEM 540,Molecules and Radiation I
437,CHEM 452,Organometallic Chemistry
437,CHEM 552,Organometallic Chemistry
438,CHEM 457,Modern Coordination Chemistry
438,CHEM 557,Modern Coordination Chemistry
439,CHEM 470,Quantum Chemistry
439,CHEM 570,Quantum Chemistry
440,CHEM 480,Introduction to Research
441,CHEM 490,IndependentResearchInChemistry
442,CHEM 505,Alternative Energy
443,CHEM 537,Chemistry of Isotopes
444,CHEM 538,FundamentalsPhysicalChemistry
445,CHEM 549,Materials Chemistry
446,CHEM 551,Biophysics I
447,CHEM 554,Bio-Inorganic Chemistry
448,CHEM 559,Biophysics
449,CHEM 560L,Advanced Instrumentation Lab I
450,CHEM 562L,Lab Instr Design & Mech Arts
450,PHYS 762,Lab Instr Design & Mech Arts
451,CHEM 564L,Adv Mechanical Instrumentation
452,CHEM 565L,Introduction to Glass Blowing
453,CHEM 590,EthicalConduct&ScientificRsrch
454,CHEM 600,Research Seminar
455,CHEM 700,Lab Rotation
456,CHEM 720,Current Topics Organic Chem
457,CHEM 730,Molecular Science Seminar
458,CHEM 740,Seminar in Chemical Biology
459,CHEM 750,Biophysical Chemistry Seminar
460,CHEM 760,Seminar in Inorganic Chemistry
461,CHEM 990,Research
462,CHLD 125,Child Development
462,EDST 125,Child Development
462,PSYC 125,Child Development
463,CHLD 127,Early Childhood Education
463,EDST 127,Early Childhood Education
463,PSYC 127,Early Childhood Education
464,CHLD 334,Developmental Psychopathology
464,PSYC 334,Developmental Psychopathology
465,CHNS 110,Elementary Modern Chinese I
466,CHNS 112,ElmntryModChinseHeritSpeakers
467,CHNS 130,Intermediate Modern Chinese I
468,CHNS 132,IntrmdtModChinseHeritSpeakers
469,CHNS 150,Advanced Modern Chinese I
470,CHNS 152,AdvModChineseHeritSpeakers
471,CHNS 154,Advanced Modern Chinese III
472,CHNS 162,AdvncdMdrnChnsHeritSpeakersIII
473,CHNS 164,ChnsforRdngContemporaryFiction
474,CHNS 166,Chinese for Current Affairs
475,CHNS 168,Chinese for Global Enterprises
476,CHNS 170,Intro to Literary Chinese I
476,CHNS 570,Intro to Literary Chinese I
477,CHNS 172,Chinese Scholarly Conversation
478,CHNS 200,The Chinese Tradition TR
478,EALL 200,The Chinese Tradition TR
478,EAST 240,The Chinese Tradition TR
478,HUMS 270,The Chinese Tradition TR
479,CLCV 034,Ancient Medicine & Disease
479,HIST 037,Ancient Medicine & Disease
479,HSHM 002,Ancient Medicine & Disease
480,CLCV 125,Intro to Ancient Philosophy
480,PHIL 125,Intro to Ancient Philosophy
482,CLCV 200,Ancient Global Leadership
482,HIST 204,Ancient Global Leadership
483,CLCV 206,The Roman Republic
483,HIST 217,The Roman Republic
483,HUMS 144,The Roman Republic
484,CLCV 211,Ancient Satire and Free Speech
485,CLCV 216,Dionysus in Modernity TR
485,LITR 239,Dionysus in Modernity TR
485,MGRK 216,Dionysus in Modernity TR
485,WGSS 209,Dionysus in Modernity TR
486,CLCV 311,Egypt of the Pharaohs
486,HIST 311,Egypt of the Pharaohs
486,NELC 311,Egypt of the Pharaohs
487,CLCV 450,Two-Term Senior Project
488,CLSS 407,Indo-European Linguistics
488,LING 113,Indo-European Linguistics
488,LING 513,Indo-European Linguistics
488,NELC 354,Indo-European Linguistics
489,CLSS 490,Two-Term Intensive SeniorEssay
490,CLSS 630,MedicalThoughtInGreek&LatinLit
491,CLSS 724,Choice and the Voluntary
491,PHIL 724,Choice and the Voluntary
492,CLSS 819,Ecocultures of Antiquity
494,CLSS 858,Family Archives: GrecoRomEgypt
494,HIST 512,Family Archives: GrecoRomEgypt
495,CLSS 881,Proseminar Classical Studies
496,CLSS 898,Graduate Latin Survey I
497,CLSS 900,Directed Reading
498,CPAR 491,Senior Project
499,CPLT 501,The Italian Renaissance
499,HIST 563,The Italian Renaissance
499,ITAL 600,The Italian Renaissance
499,RNST 500,The Italian Renaissance
500,CPLT 574,Marxist Theory of Literature
500,JDST 326,Marxist Theory of Literature
500,JDST 677,Marxist Theory of Literature
500,LITR 317,Marxist Theory of Literature
501,CPLT 582,Medieval Translation
501,ENGL 545,Medieval Translation
501,FREN 802,Medieval Translation
503,CPLT 614,East German Lit & Film
503,FILM 425,East German Lit & Film
503,FILM 770,East German Lit & Film
503,GMAN 275,East German Lit & Film
503,GMAN 594,East German Lit & Film
503,LITR 358,East German Lit & Film
504,CPLT 618,WalterBenjamin’sCriticalTheory
504,GMAN 709,WalterBenjamin’sCriticalTheory
504,JDST 680,WalterBenjamin’sCriticalTheory
