subject,number,section,times,locations,areas,skills,num_students,rating,workload,Hu,Sc,So,L,QR,WR
PLSC,990,1,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PLSC,990,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PLSC,990,3,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PLSH,110,1,M-F 9.25-10.15,LORIA 258,,L,22.0,4.24,2.49,False,False,False,True,False,False
PLSH,130,1,M-F 10.30-11.20,LORIA 260,,L,3.0,4.29,2.7199999999999998,False,False,False,True,False,False
PLSH,130,2,M-F 8.00-8.50,LORIA 260,,L,3.0,4.29,2.7199999999999998,False,False,False,True,False,False
PLSH,150,1,TTh 13.00-14.15,LORIA 260,,L,3.0,,,False,False,False,True,False,False
PNJB,110,1,MW 18.10-20.00,DOW B-07,,L,,,,False,False,False,True,False,False
PNJB,130,1,TTh 18.10-20.00,DOW B-07,,L,,,,False,False,False,True,False,False
PORT,110,1,M-F 9.25-10.15,WLH 014,,L,8.0,4.31,2.34,False,False,False,True,False,False
PORT,110,2,M-F 10.30-11.20,MY 501,,L,13.0,4.31,2.34,False,False,False,True,False,False
PORT,130,1,M-F 9.25-10.15,RKZ 08,,L,7.0,3.9,2.5,False,False,False,True,False,False
PORT,130,2,M-F 10.30-11.20,MY 401,,L,9.0,3.9,2.5,False,False,False,True,False,False
PORT,150,1,MWF 11.35-12.25,WLH 007,,L,5.0,4.33,2.5,False,False,False,True,False,False
PORT,350,1,M 15.30-17.20,CO493 102,Hu,WR,5.0,3.92,3.08,True,False,False,False,False,True
PORT,360,1,M 13.30-15.20,ELM143 106,Hu,[],7.0,,,True,False,False,False,False,False
PORT,394,1,T 15.30-17.20,WLH 205,Hu,WR,5.0,4.31,2.42,True,False,False,False,False,True
PORT,471,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PORT,491,1,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
PORT,960,1,T 15.30-17.20,WLH 205,,[],5.0,5.0,1.0,False,False,False,False,False,False
PORT,964,1,M 15.30-17.20,CO493 102,,[],5.0,3.75,3.25,False,False,False,False,False,False
PORT,991,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PRAC,471,0,1 HTBA,,,[],34.0,4.33,2.85,False,False,False,False,False,False
PSYC,110,1,TTh 13.00-14.15,YSB MARSH,So,[],156.0,3.99,2.86,False,False,True,False,False,False
PSYC,125,1,W 13.30-15.20,CSC SENN,So,WR,27.0,4.37,2.66,False,False,True,False,False,True
PSYC,127,1,T 14.30-16.20,CALHIL DCC,So,WR,15.0,4.39,2.87,False,False,True,False,False,True
PSYC,130,1,TTh 14.30-15.45,WLH 201,So,[],163.0,3.52,2.69,False,False,True,False,False,False
PSYC,160,1,MW 13.00-14.15,SSS 114,Sc,[],204.0,3.58,3.36,False,True,False,False,False,False
PSYC,179,1,MW 11.35-12.50,SLB AUD,So,[],469.0,4.32,2.21,False,False,True,False,False,False
PSYC,235,1,MW 9.00-10.15,DOW 100,So,WR,13.0,3.43,3.73,False,False,True,False,False,True
PSYC,235,2,TTh 11.35-12.50,DOW 100,So,WR,13.0,3.43,3.73,False,False,True,False,False,True
PSYC,304,1,TTh 13.00-14.15,HLH17 115,So,[],29.0,3.64,2.69,False,False,True,False,False,False
PSYC,317,1,TTh 14.30-15.45,SML 118A,So,[],20.0,4.27,3.5,False,False,True,False,False,False
PSYC,326,1,MW 14.30-15.45,SSS 201,So,[],19.0,4.8100000000000005,2.88,False,False,True,False,False,False
PSYC,330,1,MW 13.00-14.15,K 207,So,[],30.0,3.81,2.96,False,False,True,False,False,False
PSYC,334,1,TTh 16.00-17.15,CSC SENN,,[],24.0,3.68,1.96,False,False,False,False,False,False
PSYC,352,1,TTh 9.00-10.15,HLH17 05,Sc,[],51.0,4.05,2.19,False,True,False,False,False,False
PSYC,372,1,W 16.00-17.50,CO493 103,,[],6.0,3.96,3.09,False,False,False,False,False,False
