date,users,sessions,bounceRate,avgTimeonPage,Pageviews,t,weekday,month,year
2019-02-26,12690,14212,77.19532789192232,105.85112991324837,23546,918,2,2,2019
2019-02-27,15892,18185,78.50426175419301,115.71465539549729,29776,919,3,2,2019
2019-02-28,14788,16481,78.87870881621261,108.77939406099519,26447,920,4,2,2019
2019-03-01,12775,14442,79.22032959423902,112.28453559641679,22921,921,5,3,2019
2019-03-02,7923,8711,82.49339915049937,134.16036745406825,12518,922,6,3,2019
2019-03-03,8236,9142,82.10457230365347,128.96651959512067,12995,923,7,3,2019
2019-03-04,13730,15272,77.63226820324778,109.32213261648745,24198,924,1,3,2019
2019-03-05,12312,14089,77.73440272553056,101.7042968309462,22956,925,2,3,2019
2019-03-06,12762,14702,77.81934430689702,133.17097197898423,23838,926,3,3,2019
2019-03-07,12637,14373,78.24392959020385,105.62701068768217,23636,927,4,3,2019
2019-03-08,10798,12260,79.02120717781403,102.82987167614763,19819,928,5,3,2019
2019-03-09,7782,8386,85.04650608156452,116.56979405034325,11445,929,6,3,2019
2019-03-10,7074,7575,84.58085808580859,111.92379248658318,10369,930,7,3,2019
2019-03-11,8019,8840,81.05203619909503,117.7074454750564,12829,931,1,3,2019
2019-03-12,18247,20562,71.70508705378855,109.3079734784087,32326,932,2,3,2019
2019-03-13,13128,14623,69.08979005675991,87.99682507169193,24387,933,3,3,2019
2019-03-14,9582,10648,71.10255447032307,87.75838833883388,17920,934,4,3,2019
2019-03-15,8987,9823,77.22691642064542,103.89354473386183,15121,935,5,3,2019
2019-03-16,11835,12849,82.31769009261421,108.85481782874052,18256,936,6,3,2019
2019-03-17,27916,29636,88.31151302469969,129.9917609444171,37768,937,7,3,2019
2019-03-18,18691,20043,84.44344658983186,110.18574828133262,27607,938,1,3,2019
2019-03-19,13250,14306,83.65021669229694,113.75192378160499,19764,939,2,3,2019
2019-03-20,13494,14500,85.06896551724138,125.73751451800233,19665,940,3,3,2019
2019-03-21,12307,13243,83.66684286037906,120.66444826105625,17900,941,4,3,2019
2019-03-22,7293,8024,82.20338983050848,125.37790888233366,11075,942,5,3,2019
2019-03-23,6174,6654,84.20498948001203,125.34062237174096,9032,943,6,3,2019
2019-03-24,6297,6891,82.16514294006674,126.56625183016105,9623,944,7,3,2019
2019-03-25,17292,19549,74.76597268402476,102.74941826643398,33301,945,1,3,2019
2019-03-26,15042,17037,74.71972765158185,106.87596644184899,29195,946,2,3,2019
2019-03-27,18023,19962,80.11221320508966,101.2735556931788,31265,947,3,3,2019
2019-03-28,22814,24940,82.2373696872494,111.56404047392544,36503,948,4,3,2019
2019-03-29,24756,27396,83.41363702730325,120.47372488408037,39041,949,5,3,2019
2019-03-30,26880,28825,88.82914137033825,123.28313494717132,36302,950,6,3,2019
2019-03-31,12844,13861,84.63314335185052,118.91242097433991,19237,951,7,3,2019
2019-04-01,19992,22822,77.46034528086933,113.46425929661758,37693,952,1,4,2019
2019-04-02,16589,19134,72.72394690080485,52.18084308254988,104440,953,2,4,2019
2019-04-03,17254,19523,77.45735798801414,105.5199785670545,32587,954,3,4,2019
2019-04-04,17677,19744,81.33610210696921,105.42717507016356,30077,955,4,4,2019
2019-04-05,17012,18828,81.7240280433397,117.17345556828836,28427,956,5,4,2019
2019-04-06,12051,12905,87.21425803951956,121.02935468219312,17027,957,6,4,2019
2019-04-07,12388,13456,86.660225921522,142.65794819705434,17394,958,7,4,2019
2019-04-08,15621,17510,78.74928612221588,109.68505320706824,27753,959,1,4,2019
2019-04-09,16612,18811,78.12981765987985,107.68236543909349,30107,960,2,4,2019
2019-04-10,13904,15932,78.45844840572433,111.15541721275666,25088,961,3,4,2019
2019-04-11,22570,24585,85.01932072401871,112.08030957885215,34534,962,4,4,2019
2019-04-12,23675,25735,87.39459879541481,130.37687861271675,33520,963,5,4,2019
2019-04-13,12444,13489,88.81310697605457,164.04145569620252,16649,964,6,4,2019
2019-04-14,10397,11340,87.38095238095238,123.30040322580645,14812,965,7,4,2019
2019-04-15,13147,14928,78.89871382636656,109.77902836797979,23635,966,1,4,2019
2019-04-16,17096,19347,78.08962629865096,100.51776824034334,30997,967,2,4,2019
2019-04-17,15126,17391,78.09211661204071,106.0645218470265,28674,968,3,4,2019
2019-04-18,18258,20603,80.93481531815755,119.02965564335187,30854,969,4,4,2019
2019-04-19,20449,23038,82.16425036895563,120.12045476820543,33241,970,5,4,2019
2019-04-20,9987,11019,83.40139758598784,117.65775401069519,15507,971,6,4,2019
2019-04-21,8914,9838,83.32994511079488,124.24960463890353,13632,972,7,4,2019
2019-04-22,13778,15785,75.57808045612924,98.05014136038584,27811,973,1,4,2019
2019-04-23,12212,14093,77.37884055914283,110.491678387248,22625,974,2,4,2019
2019-04-24,11349,13022,74.87329135309476,99.49752155172413,22300,975,3,4,2019
2019-04-25,14803,17633,77.39465774400273,135.48067608974992,27749,976,4,4,2019
2019-04-26,16794,19778,78.4457478005865,138.18125213237803,31502,977,5,4,2019
2019-04-27,8370,9288,82.20284237726099,141.43810468866286,13319,978,6,4,2019
2019-04-28,7847,8856,80.70234869015357,135.8384258127597,12947,979,7,4,2019
2019-04-29,8647,9880,79.19028340080972,118.33358969428956,15081,980,1,4,2019
2019-04-30,8045,9090,80.47304730473047,122.97878649635037,13474,981,2,4,2019
2019-05-01,7653,8480,81.4622641509434,118.18077865505036,12153,982,3,5,2019
2019-05-02,10439,11695,80.56434373663959,115.72757413888377,17124,983,4,5,2019
2019-05-03,9054,9999,78.83788378837883,102.14518291515036,15220,984,5,5,2019
2019-05-04,5740,6350,81.1968503937008,104.22976406533576,9104,985,6,5,2019
2019-05-05,6197,6890,81.43686502177067,124.08058842340901,10017,986,7,5,2019
2019-05-06,6753,7613,79.52187048469723,108.84946854352198,11094,987,1,5,2019
2019-05-07,6547,7302,81.08737332237743,112.89081567116249,10416,988,2,5,2019
2019-05-08,6281,6916,82.28744939271255,128.04688063469166,9689,989,3,5,2019
2019-05-09,5862,6501,81.7105060759883,117.03736974487963,9284,990,4,5,2019
2019-05-10,5863,6458,82.78104676370394,133.93690248565966,9073,991,5,5,2019
2019-05-11,4582,5065,83.63277393879565,129.39837398373984,7279,992,6,5,2019
2019-05-12,4676,5197,82.89397729459303,133.2525208241999,7478,993,7,5,2019
2019-05-13,5922,6607,81.02013016497655,109.7254430759988,9936,994,1,5,2019
2019-05-14,6165,6814,83.43117111828589,131.0079275198188,9462,995,2,5,2019
2019-05-15,5766,6382,81.44782199937323,132.46204492641363,8964,996,3,5,2019
2019-05-16,6790,7401,82.8131333603567,128.38591646530895,10298,997,4,5,2019
2019-05-17,7305,8000,81.39999999999999,147.01508196721312,11050,998,5,5,2019
2019-05-18,5127,5630,83.48134991119005,134.72873345935727,7746,999,6,5,2019
2019-05-19,6295,7032,78.44141069397043,126.44786944696283,10341,1000,7,5,2019
2019-05-20,9514,10912,75.59567448680352,105.75966729899314,17765,1001,1,5,2019
2019-05-21,7167,8117,78.39103116915116,111.49465240641712,12605,1002,2,5,2019
2019-05-22,7782,8708,81.24712907671106,118.86976274608783,12670,1003,3,5,2019
